Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),Lesson,
белый,469,white,A,A1,"Golosa, MiP, LM, МН, Поехали",1,белые,Nom.Plur,У Саши красивая улыбка и белые зубы.,Sasha has a pretty smile and white teeth.,_,описание,7,
белый,470,white,A,A1,"Golosa, MiP, LM, МН, Поехали",2,белым,Ins.Masc.Sing,Обычно я ем суп с белым хлебом.,Usually I eat soup with white bread.,_,описание,7,
белый,471,white,A,A1,"Golosa, MiP, LM, МН, Поехали",3,белыми,Ins.Plur,Первого сентября на улицах много девочек с белыми бантами.,On September 1 a lot of girls wear white bows outside.,_,описание,7,
гость,472,guest,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,гости,Nom.Plur,"Вечером придут гости, нужно накрыть на стол.","The guests are coming in the evening, we need to set the table.",_,люди,18,
гость,473,guest,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,гость,Nom.Sing,Вы всегда желанный гость в нашем доме!,You are always a welcome guest in our house!,_,люди,18,
гость,474,guest,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,гостях,Loc.Plur,"Я сейчас в гостях, перезвоню позже.","I'm visiting someone now, call you later.",_,люди,18,
телефон,475,telephone,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,телефону,Dat.Sing,Маша разговаривает по телефону.,Masha is on the phone now.,_,"люди, общение",6,
телефон,476,telephone,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,телефон,Acc.Sing,"Возьми телефон, он звонит!","The phone is ringing, take the call!",_,"люди, общение",6,
телефон,477,telephone,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,телефон,Nom.Sing,Телефон сто двенадцать доступен круглосуточно.,The number 112 can be reached around the clock.,_,"люди, общение",6,
математика,478,mathematics,N.Fem.Inan,A1,"Golosa, MiP, МН",1,математики,Gen.Sing,Катя работает учительницей математики в школе.,Katya is a math teacher at school.,_,учёба/работа,22,
математика,479,mathematics,N.Fem.Inan,A1,"Golosa, MiP, МН",2,математика,Nom.Sing,Математика развивает логическое мышление.,Mathematics develops logical thinking.,_,учёба/работа,22,
математика,480,mathematics,N.Fem.Inan,A1,"Golosa, MiP, МН",3,математике,Dat.Sing,Вася очень старался и получил четыре по математике.,Vasya has worked hard and received a grade of 4 (=B) in math.,_,учёба/работа,22,
фирма,481,company,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,фирмы,Gen.Sing,Николай – директор этой фирмы.,Nikolay is the director of this company.,_,учёба/работа,25,
фирма,482,company,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,фирма,Nom.Sing,Фирма Volvo выпустила новый автомобиль.,Volvo has released a new automobile.,_,учёба/работа,25,
фирма,483,company,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,фирм,Gen.Plur,В области торговли работает много мелких фирм.,There are a lot of small-businesses in commerce.,_,учёба/работа,25,
писатель,484,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",1,писатель,Nom.Sing,Лев Толстой – знаменитый русский писатель.,Leo Tolstoy is a famous Russian writer.,_,"учёба/работа, люди",23,
писатель,485,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",2,писателя,Gen.Sing,В кабинете писателя много книг.,There are a lot of books in the writer's office.,_,"учёба/работа, люди",23,
писатель,486,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",3,писателей,Gen.Plur,Недавно вышел сборник с текстами молодых писателей.,A collection of poems written by young writers came out recently.,_,"учёба/работа, люди",23,
мальчик,487,boy,N.Masc.Anim,A1,"LM, МН",1,мальчик,Nom.Sing,Мальчик гуляет во дворе.,A boy is walking in the yard.,_,люди,3,
мальчик,488,boy,N.Masc.Anim,A1,"LM, МН",2,мальчика,Acc.Sing,Я вижу мальчика.,I see a boy.,_,люди,3,
мальчик,489,boy,N.Masc.Anim,A1,"LM, МН",3,мальчики,Nom.Plur,Мальчики играют в футбол.,The boys are playing soccer.,_,люди,3,
экономический,490,economic,A,A1,"Golosa, МН",1,экономических,Gen.Plur,Александр – кандидат экономических наук.,Alexandеr has а Ph.D. in Economics.,_,"учёба/работа, политика",30,
экономический,491,economic,A,A1,"Golosa, МН",2,экономической,Gen.Fem.Sing,Главная задача сейчас – обеспечение экономической стабильности.,The main goal now is to ensure economic stability.,_,"учёба/работа, политика",30,
экономический,492,economic,A,A1,"Golosa, МН",3,экономического,Gen.Masc.Sing,Министр экономического развития прокомментировал эту ситуацию.,The Minister of Economic Development has commented on this situation,_,"учёба/работа, политика",30,
номер,493,room,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,номер,Nom.Sing,Наш номер в отеле чистый и просторный.,Our hotel room is clean and spacious.,_,жильё,17,
номер,494,room,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,номере,Loc.Sing,В номере есть холодильник?,Is there a refrigerator in the room?,_,жильё,17,
номер,495,room,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,номеров,Gen.Plur,Мы хотим забронировать 5 одноместных номеров.,We want to book 5 single rooms.,_,жильё,17,
номер,493а,number,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,номер,Acc.Sing,Я запишу твой номер телефона.,I'll write down your telephone number.,_,учёба/работа,17,
номер,494а,number,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,номера,Gen.Sing,У меня нет номера Маши.,I don't have Masha's number.,_,учёба/работа,17,
номер,495а,number,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,номером,Ins.Sing,Я отправила вам письмо с номером телефона Саши.,I've sent you an e-mail with Sasha's phone number.,_,учёба/работа,17,
документ,496,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,документов,Gen.Plur,Летом начинается подача документов в университеты.,Submission of university applications starts in the summer.,_,учёба/работа,16,
документ,497,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,документы,Acc.Plur,Перед поездкой нужно подготовить все документы.,We need to prepare all the documents before the trip.,_,учёба/работа,16,
документ,498,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,документа,Gen.Sing,Я сделаю копию этого документа.,I'll make a copy of this document.,_,учёба/работа,16,
метр,499,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",1,метров,Gen.Plur,Высота этого дома – примерно двадцать метров.,This building is about 20 meters tall.,_,мера,27,
метр,500,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",2,метра,Gen.Sing,"Васе пять лет, его рост уже больше метра.","Vasya is five years old, and he is already more than a meter tall.",_,мера,27,
метр,501,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",3,метрах,Loc.Plur,Магазин находится в пяти метрах от станции метро.,The shop is 5 meters away from the metro station.,_,мера,27,
билет,502,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",1,билетов,Gen.Plur,Нам нужно купить пять билетов на поезд.,We need to buy 5 train tickets.,_,"путешествие, свободное время",12,
билет,503,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",2,билеты,Acc.Plur,Мы купили билеты и пошли смотреть кино.,We bought tickets and went to the movie theater.,_,"путешествие, свободное время",12,
билет,504,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",3,билет,Acc.Sing,"Когда поедешь в аэропорт, не забудь билет на самолёт.",Don't forget your plane ticket when you go to the airport.,_,"путешествие, свободное время",12,
половина,505,half,N.Fem.Inan,A1,"MiP, МН",1,половиной,Ins.Sing,Сколько лет твоей дочке? Три с половиной.,How old is your daughter? She is three and a half.,_,мера,31,
половина,506,half,N.Fem.Inan,A1,"MiP, МН",2,половины,Gen.Sing,Пушкин – поэт первой половины девятнадцатого века.,Pushkin is a poet from the first half of the 19th century.,_,мера,31,
половина,507,half,N.Fem.Inan,A1,"MiP, МН",3,половина,Nom.Sing,"Уже половина первого, я опаздываю!","It's half past twelve already, I'm late!",_,мера,31,
солнце,508,sun,N.Neut.Inan,A1,"MiP, LM, МН",1,солнце,Nom.Sing,"Сегодня тепло, светит солнце.","Today it's warm, the sun is shining.",_,путешествие,13,
солнце,509,sun,N.Neut.Inan,A1,"MiP, LM, МН",2,солнца,Gen.Sing,"Сегодня облачно, солнца нет.","Today it's cloudy, there is no sun.",_,путешествие,13,
солнце,510,sun,N.Neut.Inan,A1,"MiP, LM, МН",3,солнцем,Ins.Sing,Каждый человек ищет своё место под солнцем.,Everyone is looking for his place in the sun.,_,путешествие,13,
желание,511,desire,N.Neut.Inan,A1,МН,1,желание,Nom.Sing,"Ура, моё желание сбылось!","Hooray, my wish came true!",_,внутренний мир,27,
желание,512,desire,N.Neut.Inan,A1,МН,2,желания,Gen.Sing,У меня нет желания приходить завтра.,I have no desire to come tomorrow.,_,внутренний мир,27,
желание,513,desire,N.Neut.Inan,A1,МН,3,желании,Loc.Sing,При желании я смогу одновременно учиться и работать.,"If I want to, I can study and work at the same time.",_,внутренний мир,27,
завод,514,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",1,заводе,Loc.Sing,Мой дедушка работал на заводе.,My grandfather worked in a factory.,_,учёба/работа,24,
завод,515,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",2,завода,Gen.Sing,Александр – директор этого завода.,Alexandr is the director of this factory.,_,учёба/работа,24,
завод,516,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",3,завод,Nom.Sing,Наш завод находится в Москве.,Our factory is located in Moscow.,_,учёба/работа,24,
пить,517,drink,V,A1,"Golosa, MiP, LM, МН",1,пить,Imperf.Inf,Я хочу пить.,I'm thirsty.,_,еда,13,
пить,518,drink,V,A1,"Golosa, MiP, LM, МН",2,пил,Imperf.Masc.Sing.Past,Ты пил вчера на вечеринке?,Did you drink alcohol at the party yesterday?,_,еда,13,
пить,519,drink,V,A1,"Golosa, MiP, LM, МН",3,пили,Imperf.Plur.Past,"Вчера мы были в гостях, пили сок и вино.",Yesterday we visited our friends and drank juice and wine.,_,еда,13,
передача,520,TV show,N.Fem.Inan,A1,"MiP, LM, МН",1,передачи,Gen.Sing,"Выключи телевизор, там нет ни одной интересной передачи.","Turn off the TV, there are no interesting shows on the air.",_,"свободное время, общение",,
передача,521,TV show,N.Fem.Inan,A1,"MiP, LM, МН",2,передача,Nom.Sing,Это моя любимая передача.,This is my favorite TV show.,_,"свободное время, общение",,
передача,522,TV show,N.Fem.Inan,A1,"MiP, LM, МН",3,передачу,Acc.Sing,Давай посмотрим кулинарную передачу.,Let's watch a cooking show.,_,"свободное время, общение, еда",,
университет,523,university,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,университета,Gen.Sing,Вася – студент Московского государственного университета.,Vasya is a student at Moscow State University.,_,учёба/работа,22,
университет,524,university,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,университете,Loc.Sing,Маша и Лена сейчас учатся в университете.,Masha and Lena are now studying at the university.,_,учёба/работа,22,
университет,525,university,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,университет,Nom.Sing,"Университет – это учебное заведение, в котором получают высшее образование.",A university is an educational institution where people receive a higher education.,_,учёба/работа,22,
сентябрь,526,September,N.Masc.Inan,A1,"MiP, LM, МН",1,сентября,Gen.Sing,Первого сентября начинается учебный год.,The academic year starts on the first of September.,_,время,30,
сентябрь,527,September,N.Masc.Inan,A1,"MiP, LM, МН",2,сентябре,Loc.Sing,В сентябре начинают опадать листья.,In September the leaves begin to fall.,_,время,30,
лето,528,summer,N.Neut.Inan,A1,"LM, МН",1,летом,Ins.Sing,Куда мы поедем летом?,Where will we go in Summer?,_,"мера, время",30,
лето,529,summer,N.Neut.Inan,A1,"LM, МН",2,лето,Acc.Sing,Я уезжаю на лето к бабушке.,I am going to spend the summer visiting my grandmother.,_,"мера, время",30,
лето,530,summer,N.Neut.Inan,A1,"LM, МН",3,лета,Gen.Sing,"Не успеешь оглянуться, а уже конец лета.",Summer is gone before you know it.,_,"мера, время",30,
среда,531,environment,N.Fem.Inan,A1,"Golosa, MiP, LM, МН, Кс",1,среды,Gen.Sing,Охрана окружающей среды – это актуальная проблема сегодня.,Protection of the environment is a relevant problem today.,_,"животные/растения, погода",,
среда,532,Wednesday,N.Fem.Inan,A1,"Golosa, MiP, LM, МН, Кс",2,среду,Acc.Sing,Я буду в Москве в среду.,I'll be in Moscow on Wednesday.,_,время,6,
среда,533,environment,N.Fem.Inan,A1,"Golosa, MiP, LM, МН, Кс",3,среде,Loc.Sing,Лена – эколог и очень много знает об окружающей среде.,"Lena is an environmental specialist, and knows a lot about the environment.",_,"животные/растения, погода",,
врач,534,doctor,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,врач,Nom.Sing,Врач сегодня принимает с восьми до четырнадцати часов.,The doctor is seeing patients from 8 a.m. til 2 p.m. today.,_,"люди, учёба/работа, здоровье",2,
врач,535,doctor,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,врачи,Nom.Plur,В этой поликлинике работают очень хорошие врачи.,Highly skilled doctors work in this clinic.,_,"люди, учёба/работа, здоровье",2,
врач,536,doctor,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,врачей,Gen.Plur,Я очень боюсь врачей!,I'm very scared of doctors!,_,"люди, учёба/работа, здоровье",2,
часы,537,clock,N.Inan,A1,"Golosa, MiP, LM, МН",1,часы,Nom.Plur,Эти часы отстают.,This clock is slow.,_,"мера, время",19,
,,,,,,,,,,,,,,
часы,539,clock,N.Inan,A1,"Golosa, MiP, LM, МН",3,часах,Loc.Plur,На моих часах ровно три.,It's 3 o'clock sharp by my watch.,_,"мера, время",19,
правый,540,right,A,A1,"MiP, МН",1,прав,Masc.Sing,"Мне кажется, ты не прав.",It seems to me you're not right.,_,"внутренний мир, люди",19,
правый,541,right,N.Masc.Anim,A1,"MiP, МН",2,правые,Nom.Plur,В двадцатом веке в Европе были популярны правые партии.,Right-wing parties were popular in Europe in the twentieth century.,_,политика,19,
правый,542,right,N.Masc.Anim,A1,"MiP, МН",3,правых,Gen.Plur,Он придерживается правых взглядов.,He is a right-winger.,_,политика,19,
курс,543,course of study,N.Masc.Inan,A1,"Golosa, MiP, МН",1,курса,Gen.Sing,Анна – студентка первого курса.,Anna is a first-year student.,_,учёба/работа,22,
курс,544,course of study,N.Masc.Inan,A1,"Golosa, MiP, МН",2,курс,Acc.Sing,"Ты студент? Да, перехожу на третий курс.","Are you a student? Yes, I'm entering the third year.",_,учёба/работа,22,
курс,545,course of study,N.Masc.Inan,A1,"Golosa, MiP, МН",3,курсе,Loc.Sing,На каком ты курсе?,Which year are you in?,_,учёба/работа,22,
цвет,546,color,N.Masc.Inan,A1,"Golosa, MiP, МН",1,цвета,Gen.Sing,Зачем ты купил футболку белого цвета? Она быстро испачкается.,Why did you buy a white T-shirt? It will get dirty soon.,_,описание,7,
цвет,547,color,N.Masc.Inan,A1,"Golosa, MiP, МН",2,цвет,Nom.Sing,Синий цвет тебе идёт!,The color blue suits you!,_,описание,7,
цвет,548,color,N.Masc.Inan,A1,"Golosa, MiP, МН",3,цвету,Dat.Sing,Эта рубашка не подходит тебе по цвету.,The color of this shirt doesn't suit you.,_,описание,7,
размер,549,size,N.Masc.Inan,A1,"Golosa, MiP, МН",1,размера,Gen.Sing,"Это платье слишком маленького размера, поищи другое.","This dress is too small, look for another one.",_,мера,27,
